c2,xcoord,ycoord,CVEGEO
top10,-89.05,19.94,31098
top10,-97.70,20.21,30067
top10,-92.27,17.30,7100
top10,-92.04,17.11,7031
top10,-92.49,17.38,7096
top10,-90.23,19.97,4008
top10,-89.61,19.47,4006
top10,-92.61,17.32,7076
top10,-90.27,19.62,4002
top10,-86.94,21.08,23005
top10,-97.71,20.27,30037
top10,-88.53,18.98,23010
top10,-92.19,17.44,7077
top10,-90.72,18.10,4011
top10,-88.18,20.44,31021
top10,-96.05,17.49,20212
top10,-96.59,17.87,20182
top10,-89.44,20.40,31025
top10,-92.33,17.19,7109
top10,-89.02,20.19,31016
top10,-90.49,19.11,4004
top10,-98.02,21.24,30078
top10,-92.35,17.04,7082
top10,-97.65,20.21,30103
top10,-95.69,16.94,20231
top10,-91.86,16.66,7004
top10,-97.78,20.21,21089
top10,-96.75,17.91,20139
top10,-88.82,19.64,23006
top10,-87.38,21.06,23007
top10,-97.97,16.52,20302
top10,-96.64,17.82,20326
top10,-98.18,20.82,30027
top10,-92.61,17.02,7022
top10,-96.80,17.92,20276
top10,-90.14,20.12,4005
top10,-95.85,17.08,20394
top10,-92.69,17.24,7039
top10,-89.09,20.25,31094
top10,-99.11,21.72,24003
top10,-98.49,21.00,13026
top10,-97.88,20.46,21086
top10,-95.96,17.33,20189
top10,-98.53,21.15,13032
top10,-98.98,21.53,24018
top10,-98.30,20.73,30202
top10,-98.25,21.04,13025
top10,-95.88,17.19,20502
top10,-92.22,16.61,7024
top10,-96.74,17.92,20438
top10,-87.40,20.58,23008
top10,-88.83,20.08,31058
top10,-92.80,17.15,7118
top10,-90.47,18.55,4009
top10,-98.84,21.33,24057
top10,-97.79,20.11,21123
top10,-97.78,21.26,30153
top10,-92.86,17.39,7005
top10,-89.35,20.26,31003
top10,-98.29,20.86,13078
top10,-95.92,17.38,20460
top10,-92.27,16.78,7064
top10,-98.65,21.03,13073
top10,-96.60,17.94,20098
top10,-93.17,17.22,7060
top10,-98.45,21.13,13028
top10,-88.36,21.02,31032
top10,-99.03,21.39,24054
top10,-95.58,16.93,20465
top10,-91.34,16.70,7059
top10,-92.46,17.06,7066
top10,-98.58,21.26,13046
top10,-96.93,18.51,21061
top10,-96.83,18.38,21145
top10,-88.12,21.01,31008
top10,-97.67,21.38,30060
top10,-98.78,21.24,24037
top10,-97.80,20.30,21213
top10,-98.43,20.78,30076
top10,-96.02,17.25,20554
top10,-92.86,17.22,7072
top10,-97.88,20.55,21111
top10,-95.98,17.66,20468
top10,-89.28,20.47,31024
top10,-89.49,20.50,31018
top10,-91.81,17.44,7065
top10,-98.01,20.72,30083
top10,-98.05,16.54,20111
top10,-92.63,17.14,7081
top10,-96.68,18.05,20116
top10,-97.73,20.12,21068
top10,-98.87,21.43,24053
top10,-95.79,17.49,20205
top10,-97.31,20.03,21076
top10,-92.98,17.47,7045
top10,-97.69,21.31,30013
top10,-98.31,20.62,30170
top10,-96.33,17.80,20559
top10,-97.88,16.41,20225
